"date","class","lat","lon","Beach","density"
"20160125","female",37.1134994921484,-122.328930550043,"APG",18
"20160125","female",37.1135006634361,-122.328823378002,"APG",13
"20160125","female",37.1134998942384,-122.32895211794,"APG",18
"20160125","female",37.1135077418401,-122.328912342512,"APG",16
"20160125","female",37.1135036650741,-122.329048126221,"AP",11
"20160125","female",37.1135186119519,-122.328881959729,"APG",18
"20160125","female",37.1135348335687,-122.328841359495,"APG",15
"20160125","female",37.1135553157243,-122.328923085461,"APG",15
"20160125","female",37.1135544104651,-122.328960956106,"APG",18
"20160125","female",37.1135649648493,-122.329056288208,"AP",8
"20160125","female",37.1135594618998,-122.329005469577,"AP",12
"20160125","female",37.1135609173228,-122.329025518544,"AP",12
"20160125","female",37.1135822733462,-122.328821293761,"APG",10
"20160125","female",37.1135871499361,-122.328858520536,"APG",11
"20160125","female",37.113600953835,-122.328881694819,"APG",12
"20160125","female",37.1135997204052,-122.32902458393,"AP",12
"20160125","female",37.113616565337,-122.328817016776,"APG",9
"20160125","female",37.113616123311,-122.328941886145,"APG",15
"20160125","female",37.1136301756926,-122.329017636789,"AP",17
"20160125","female",37.1136453395742,-122.328996479617,"AP",16
"20160125","female",37.1136501923337,-122.328847183372,"APG",12
"20160125","female",37.113649325232,-122.32892655533,"APG",13
"20160125","female",37.1136554945517,-122.329034098903,"BBSL",15
"20160125","female",37.113667140748,-122.328951802157,"APG",19
"20160125","female",37.1136662646152,-122.329072082473,"BBSL",10
"20160125","female",37.1136741073117,-122.329092731736,"BBSL",9
"20160125","female",37.1136779607948,-122.328924221519,"APG",14
"20160125","female",37.113685217333,-122.329056196806,"BBSL",14
"20160125","female",37.113688101667,-122.329020325368,"BBSL",18
"20160125","female",37.1136919551148,-122.328889007787,"APG",13
"20160125","female",37.113710644888,-122.328972240257,"BBSL",20
"20160125","female",37.1137105313525,-122.329034298353,"BBSL",17
"20160125","female",37.1137273452771,-122.32903040791,"BBSL",18
"20160125","female",37.1137289967346,-122.328897629086,"BBSL",17
"20160125","female",37.1137351616002,-122.328982454202,"BBSL",20
"20160125","female",37.1137420020838,-122.329077287745,"BBSL",15
"20160125","female",37.1137380554226,-122.32900113127,"BBSL",18
"20160125","female",37.1137450353132,-122.328820294198,"BBSL",13
"20160125","female",37.1137510068287,-122.328967901252,"BBSL",18
"20160125","female",37.1137607397704,-122.328980688166,"BBSL",16
"20160125","female",37.1137722469275,-122.32888871936,"BBSL",15
"20160125","female",37.1137735103137,-122.328934733708,"BBSL",15
"20160125","female",37.1137813514406,-122.329062323842,"BBSL",14
"20160125","female",37.1137808555236,-122.329035413121,"BBSL",17
"20160125","female",37.1137850786163,-122.328925866079,"BBSL",14
"20160125","female",37.1137884415749,-122.328863432441,"BBSL",13
"20160125","female",37.1137902504475,-122.329120596758,"BBSL",6
"20160125","female",37.1138117662299,-122.328847011642,"BBSL",16
"20160125","female",37.1138103449624,-122.328825288794,"BBSL",14
"20160125","female",37.1138069959968,-122.329049074,"BBSL",13
"20160125","female",37.1138201536304,-122.328874458368,"BBSL",11
"20160125","female",37.1138370185147,-122.329052882485,"BBSL",10
"20160125","female",37.1138384039046,-122.328996934951,"BBSL",12
"20160125","female",37.1138537261528,-122.329066792088,"BBSL",13
"20160125","female",37.1138663082053,-122.329036750405,"BBSL",13
"20160125","female",37.1138698598751,-122.328882816148,"BBSU",11
"20160125","female",37.1138927648521,-122.328891209359,"BBSU",10
"20160125","female",37.1138833431212,-122.32912088447,"BBSL",8
"20160125","female",37.1138876692152,-122.328938228517,"BBSL",8
"20160125","female",37.1139029142685,-122.32898646204,"BBSL",11
"20160125","female",37.1139030638218,-122.32906119043,"BBSL",10
