"animalID","MomAnimalID","year","weighingdate","weandate","sex","Wt","source","SL","AG","origtag","CL","region","error"
"4685",NA,1978,1978-03-10,1978-03-05,"M",151.953,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4686",NA,1978,1978-03-10,1978-02-18,"M",131.542,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"4688",NA,1978,1978-03-17,1978-03-16,"M",108.862,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"3479","26407",1980,1980-02-12,1980-02-12,"M",142.428,"archive_1979_2021",4,NA,NA,NA,NA,NA
"5119","2261",1980,1980-02-17,1980-02-13,"M",202.756,"archive_1979_2021",6,NA,NA,NA,NA,NA
"5120","26224",1980,1980-02-21,1980-02-11,"M",113.398,"archive_1979_2021",4,NA,NA,NA,NA,NA
"5121","32356",1980,1980-02-17,1980-02-14,"F",174.633,"archive_1979_2021",11,NA,NA,NA,NA,NA
"5122","19312",1980,1980-02-17,1980-02-16,"F",104.326,"archive_1979_2021",3,NA,NA,NA,NA,NA
"5123","19190",1980,1980-02-17,1980-02-16,"F",113.398,"archive_1979_2021",3,NA,NA,NA,NA,NA
"5124","3245",1980,1980-02-17,1980-02-13,"F",157.397,"archive_1979_2021",5,NA,NA,NA,NA,NA
"19530","3131",1980,1980-02-17,1980-02-13,"M",178,"archive_1979_2021",5,NA,NA,NA,NA,NA
"44904",NA,1980,1980-02-18,1980-02-18,"M",164.2,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"44903","30786",1980,1980-02-18,1980-02-18,"F",116.573,"archive_1979_2021",3,NA,NA,NA,NA,NA
"5125","1117",1980,1980-02-20,1980-02-16,"M",151.953,"archive_1979_2021",6,NA,NA,NA,NA,NA
"5127","33199",1980,1980-02-24,1980-02-19,"F",124.738,"archive_1979_2021",4,NA,NA,NA,NA,NA
"44756","18727",1980,1980-02-29,1980-02-21,"F",167.829,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5129","19283",1980,1980-02-27,1980-02-25,"F",118.841,"archive_1979_2021",3,NA,NA,NA,NA,NA
"5130","3957",1980,1980-02-23,1980-02-23,"M",138.346,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5136","29480",1980,1980-02-25,1980-02-25,"F",138.346,"archive_1979_2021",4,NA,NA,NA,NA,NA
"5142","3913",1980,1980-02-24,1980-02-24,"F",122.47,"archive_1979_2021",4,NA,NA,NA,NA,NA
"5143","5927",1980,1980-02-24,1980-02-23,"F",136.078,"archive_1979_2021",4,NA,NA,NA,NA,NA
"5149","29583",1980,1980-02-29,1980-02-26,"M",113.398,"archive_1979_2021",4,NA,NA,NA,NA,NA
"5150","4449",1980,1980-02-27,1980-02-21,"F",165.561,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5265","3724",1980,1980-02-08,1980-01-20,"M",102.058,"archive_1979_2021",4,NA,NA,NA,NA,NA
"19519","19185",1980,1980-02-27,1980-02-25,"M",145.15,"archive_1979_2021",4,NA,NA,NA,NA,NA
"5415","19192",1980,1980-02-27,1980-02-27,"M",116.573,"archive_1979_2021",3,NA,NA,NA,NA,NA
"5416",NA,1980,1980-02-29,1980-02-27,"M",147,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5419","3527",1980,1980-02-29,1980-02-27,"M",159.665,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5460","4153",1980,1980-02-12,1980-02-05,"F",176.901,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5461","3433",1980,1980-02-08,1980-02-05,"M",204.117,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5463","2677",1980,1980-02-08,1980-02-06,"M",165.561,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5477","30239",1980,1980-02-10,NA,"F",3,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5480","1480",1980,1980-02-12,1980-02-11,"M",179.169,"archive_1979_2021",7,NA,NA,NA,NA,NA
"5806","11109",1981,1981-02-20,1981-02-18,"M",60.3278,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5819","11109",1981,1981-02-20,1981-02-18,"F",73.9356,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5820","19185",1981,1981-02-20,1981-02-18,"M",125.645,"archive_1979_2021",144.8,134.6,NA,NA,NA,NA
"5929","30278",1982,1982-01-29,1982-01-28,"F",102.058,"archive_1979_2021",5,NA,NA,NA,NA,NA
"5973","5926",1982,1982-02-18,1982-02-17,"F",115.666,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"5978","5977",1982,1982-02-19,1982-02-19,"M",143.789,"archive_1979_2021",151,138,NA,NA,NA,NA
"5982","4488",1982,1982-02-21,1982-02-21,"M",122.47,"archive_1979_2021",145,120,NA,NA,NA,NA
"6261","9524",1983,1983-03-16,1983-02-09,"M",99.7903,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7192","7081",1984,1984-02-14,1984-02-10,"M",129.248,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7368","4868",1984,1984-02-14,1984-02-07,"F",129,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7785","4605",1984,1984-02-11,1984-01-18,"F",109,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7786","28138",1984,1984-02-28,1984-02-05,"M",99,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7788","4482",1984,1984-02-10,1984-01-23,"M",132,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7792","4353",1984,1984-02-12,1984-01-18,"F",113,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7794","19316",1984,1984-02-06,1984-01-30,"M",142,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7795","5465",1984,1984-02-10,1984-01-30,"M",108,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7796","5310",1984,1984-02-12,1984-01-30,"F",117,"archive_1979_2021",5,NA,NA,NA,NA,NA
"7803","27512",1984,1984-02-17,1984-01-30,"F",110,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7818","5208",1984,1984-02-12,1984-01-29,"M",101,"archive_1979_2021",5,NA,NA,NA,NA,NA
"7819","2098",1984,1984-02-12,1984-01-30,"M",148,"archive_1979_2021",10,NA,NA,NA,NA,NA
"7820","19060",1984,1984-02-06,1984-02-03,"M",140,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7821",NA,1984,1984-02-08,1984-02-01,"F",127,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7822","19540",1984,1984-02-23,1984-02-04,"F",103,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7822","19540",1984,1984-02-11,1984-02-04,"F",107.922,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7824","19513",1984,1984-02-10,1984-02-06,"M",106,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7825","5263",1984,1984-02-23,1984-02-07,"F",120,"archive_1979_2021",5,NA,NA,NA,NA,NA
"7826","5910",1984,1984-02-17,1984-02-11,"F",84.0862,"archive_1979_2021",3,NA,NA,NA,NA,NA
"7826","5910",1984,1984-02-11,1984-02-11,"F",94,"archive_1979_2021",3,NA,NA,NA,NA,NA
"7827","18887",1984,1984-02-29,1984-02-04,"M",130,"archive_1979_2021",8,NA,NA,NA,NA,NA
"7828","56943",1984,1984-02-28,1984-02-08,"F",133,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7829","5406",1984,1984-02-23,1984-02-14,"M",116,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7830","19282",1984,1984-02-10,1984-02-08,"M",138,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7831","9524",1984,1984-02-12,1984-02-07,"M",127,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7832","30711",1984,1984-02-17,1984-02-08,"M",128,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7833","4476",1984,1984-02-17,1984-02-14,"F",113,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7835","5592",1984,1984-02-10,1984-02-08,"M",88,"archive_1979_2021",3,NA,NA,NA,NA,NA
"7837","19381",1984,1984-02-11,1984-02-04,"M",150,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7838","19320",1984,1984-02-11,1984-02-11,"F",137,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7840","3971",1984,1984-02-14,1984-02-13,"F",144,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7841","5754",1984,1984-02-14,1984-02-09,"F",102,"archive_1979_2021",3,NA,NA,NA,NA,NA
"7842","5389",1984,1984-02-22,1984-02-07,"F",124,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7844",NA,1984,1984-02-29,1984-02-13,"M",139,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7845",NA,1984,1984-02-28,1984-02-14,"F",115,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7846","4829",1984,1984-02-23,1984-02-11,"F",130,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7848","21021",1984,1984-02-18,1984-02-16,"M",168,"archive_1979_2021",8,NA,NA,NA,NA,NA
"7851","4897",1984,1984-02-18,1984-02-16,"F",132,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7857","28357",1984,1984-02-22,1984-02-22,"F",129,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7858","1480",1984,1984-02-22,1984-02-15,"F",146,"archive_1979_2021",11,NA,NA,NA,NA,NA
"7859","29583",1984,1984-02-17,1984-02-13,"M",139,"archive_1979_2021",8,NA,NA,NA,NA,NA
"7861","1952",1984,1984-02-17,1984-02-15,"F",159,"archive_1979_2021",10,NA,NA,NA,NA,NA
"7864","5166",1984,1984-02-22,1984-02-17,"M",103,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7865","5384",1984,1984-02-18,1984-02-04,"M",66,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7866","10421",1984,1984-02-18,1984-02-14,"M",107,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7867","27343",1984,1984-02-18,1984-02-16,"M",114,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7869","4442",1984,1984-02-20,1984-02-20,"M",160,"archive_1979_2021",155,138,NA,NA,NA,NA
"7873","23145",1984,1984-02-23,1984-02-15,"M",135,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7875","5863",1984,1984-02-22,1984-02-18,"F",113,"archive_1979_2021",3,NA,NA,NA,NA,NA
"7876","10208",1984,1984-02-23,1984-02-19,"M",148,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7877","5440",1984,1984-02-23,1984-02-17,"F",120,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7878","5009",1984,1984-02-22,1984-02-14,"F",110,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7879","27708",1984,1984-02-23,1984-02-19,"F",135,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7881","19532",1984,1984-02-22,1984-02-21,"F",139,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7882","29186",1984,1984-03-02,1984-02-15,"M",139,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7883","10414",1984,1984-02-22,1984-02-20,"M",122,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7884","27986",1984,1984-02-22,1984-02-16,"M",143,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7886","10805",1984,1984-02-22,1984-02-17,"M",151,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7888","26961",1984,1984-02-22,1984-02-19,"M",142,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7889","18683",1984,1984-02-23,1984-02-16,"F",116,"archive_1979_2021",8,NA,NA,NA,NA,NA
"7890","9523",1984,1984-03-02,1984-02-09,"F",115,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7892","5956",1984,1984-03-01,1984-03-01,"F",159,"archive_1979_2021",8,NA,NA,NA,NA,NA
"7893","4488",1984,1984-02-25,1984-02-20,"M",121,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7895","5928",1984,1984-02-25,1984-02-24,"F",145,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7896","27139",1984,1984-03-02,1984-02-27,"F",150,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7897","30658",1984,1984-03-01,1984-02-26,"F",138,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7898","3913",1984,1984-02-29,1984-02-26,"F",127,"archive_1979_2021",8,NA,NA,NA,NA,NA
"7899","20192",1984,1984-03-01,1984-02-29,"M",135,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7900","4985",1984,1984-02-29,1984-02-25,"M",133,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7901","19173",1984,1984-02-29,1984-02-25,"M",129,"archive_1979_2021",8,NA,NA,NA,NA,NA
"7902","19065",1984,1984-03-08,1984-03-05,"M",146,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7903","3131",1984,1984-03-01,1984-02-27,"M",151,"archive_1979_2021",9,NA,NA,NA,NA,NA
"7905","5402",1984,1984-03-01,1984-02-23,"F",111,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7906","19393",1984,1984-03-02,1984-02-29,"F",137,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7907","44756",1984,1984-03-01,1984-02-29,"M",138,"archive_1979_2021",4,NA,NA,NA,NA,NA
"7908","2261",1984,1984-02-29,1984-02-28,"M",189,"archive_1979_2021",10,NA,NA,NA,NA,NA
"7909","4276",1984,1984-02-29,1984-02-24,"F",130,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7910","19166",1984,1984-02-29,1984-02-26,"M",137,"archive_1979_2021",8,NA,NA,NA,NA,NA
"7911","26981",1984,1984-03-01,1984-02-25,"M",133,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7913","31039",1984,1984-03-01,1984-02-28,"M",169,"archive_1979_2021",7,NA,NA,NA,NA,NA
"7915","4744",1984,1984-03-02,1984-02-29,"M",130,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7931","4499",1984,1984-03-02,1984-03-01,"F",102,"archive_1979_2021",6,NA,NA,NA,NA,NA
"7990","7991",1984,1984-03-22,1984-03-18,"F",102.904,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"9132",NA,NA,NA,NA,"F",101,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7693",NA,1985,1985-03-09,NA,"F",150,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7694","19230",1985,1985-03-09,1985-01-26,"M",123,"archive_1979_2021",150,8,NA,NA,NA,NA
"7695","5282",1985,1985-02-26,1985-01-23,"M",113,"archive_1979_2021",145,6,NA,NA,NA,NA
"7699","19341",1985,1985-03-09,1985-02-02,"F",122,"archive_1979_2021",152,8,NA,NA,NA,NA
"7701","7096",1985,1985-03-09,1985-02-09,"M",132,"archive_1979_2021",145,NA,NA,NA,NA,NA
"7710","32147",1985,1985-02-26,1985-02-07,"M",141,"archive_1979_2021",157,16,NA,NA,NA,NA
"7711","4487",1985,1985-02-26,NA,"F",144,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7712","35125",1985,1985-02-26,1985-02-12,"M",141,"archive_1979_2021",145,NA,NA,NA,NA,NA
"7713","5402",1985,1985-02-16,NA,"3/8/85",145,"archive_1979_2021",5,NA,NA,NA,NA,NA
